id,name,department,salary,email,age
1,"Monkey D. Luffy",IT,85000,luffy@gmail.com,22
2,"Roronoa Zoro",HR,58000,zoro@gmail.com,27
3,Nami,Finance,92000,nami@gmail.com,25
4,Usopp,Marketing,72000,usopp@gmail.com,24
5,Sanji,Sales,65000,sanji@gmail.com,26
6,"Tony Tony Chopper",IT,78000,chopper@gmail.com,20
7,"Nico Robin",HR,60000,robin@gmail.com,30
8,Franky,Finance,88000,franky@gmail.com,36
9,Brook,Marketing,71000,brook@gmail.com,90
10,Jinbe,Sales,68000,jinbe@gmail.com,45
11,"Portgas D. Ace",IT,91000,ace@gmail.com,23
12,"Trafalgar Law",HR,59000,law@gmail.com,29
13,"Boa Hancock",Finance,97000,hancock@gmail.com,28
14,Shanks,Marketing,75000,shanks@gmail.com,39
15,"Dracule Mihawk",Sales,64000,mihawk@gmail.com,43
16,"Bon Clay",HR,62000,bonchan@gmail.com,35
